County,Year,Jan_Min_Temp,Jan_Max_Temp,Jan_Mean_Temp,Jan_Median_Temp
Bernalillo_County,2014,8.0,64.0,30.8,29.0
Clark_County,2014,48.0,79.0,61.5,62.0
Cook_County,2014,-15.0,47.0,16.6,19.0
Dallas_County,2014,15.0,74.0,44.8,45.0
Davidson_County,2014,1.0,63.0,33.2,35.0
Denver_County,2014,-8.0,64.0,29.5,30.0
Fulton_County,2014,6.0,67.0,36.7,37.0
Hennepin_County,2014,-22.0,39.0,9.6,9.0
Jackson_County,2014,-8.0,63.0,26.7,28.0
King_County,2014,28.0,59.0,41.8,43.0
Los_Angeles_County,2014,48.0,79.0,61.5,62.0
Maricopa_County,2014,32.0,77.0,53.5,54.0
Marion_County,2014,-14.0,50.0,20.3,21.5
Mecklenburg_County,2014,7.0,64.0,36.9,38.0
Miami_Dade_County,2014,41.0,83.0,66.9,68.0
New_York_County,2014,4.0,58.0,30.6,31.0
Philadelphia_County,2014,4.0,64.0,30.1,28.0
San_Francisco_County,2014,51.0,62.0,56.7,57.0
Suffolk_County,2014,1.0,58.0,28.3,28.0
Wayne_County,2014,-14.0,45.0,17.7,17.0
