State,City,County
New Mexico,Albuquerque,Bernalillo County
Nevada,Las Vegas,Clark County
Illinois,Chicago ,Cook County
Florida,Miami,Miami-Dade County
Texas,Dallas ,Dallas County
Tennessee,Nashville,Davidson County
Colorado,Denver,Denver County
Georgia,Atlanta,Fulton County
Minnesota,Minneanapolis,Hennepin County
Missouri,Kansas City,Jackson County
Washington,Seattle,King County
California,LA,Los Angeles County
Arizona,Phonix,Maricopa County
Indiana,Indianapolis,Marion County
North Carolina,Charlotte,Mecklenburg County
New York,New York (Manhattan),New York County
Pennsylvania,Philadelphia,Philadelphia County
California,San Francisco,San Francisco County
Massachusetts,Boston,Suffolk County
Michigan,Detroit,Wayne County
